中国频道,#genre#
客家電視台,http://litv.zapi.us.kg/?id=4gtv-4gtv043
八大綜藝台,http://litv.zapi.us.kg/?id=4gtv-4gtv039
中視菁采台,http://litv.zapi.us.kg/?id=4gtv-4gtv064
TVBS精采台,http://litv.zapi.us.kg/?id=4gtv-4gtv067
愛爾達娛樂台,http://litv.zapi.us.kg/?id=4gtv-4gtv070
靖天綜合台,http://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本台,http://litv.zapi.us.kg/?id=4gtv-4gtv047
ARIRANG阿里郎頻道,http://litv.zapi.us.kg/?id=4gtv-4gtv079
Smart知識台,http://litv.zapi.us.kg/?id=litv-longturn19
達文西頻道,http://litv.zapi.us.kg/?id=4gtv-4gtv018
ELTV生活英語台,http://litv.zapi.us.kg/?id=litv-longturn20
靖天卡通台,http://litv.zapi.us.kg/?id=4gtv-4gtv044
靖洋卡通Nice Bingo,http://litv.zapi.us.kg/?id=4gtv-4gtv057
i-Fun動漫台,http://litv.zapi.us.kg/?id=litv-ftv15
龍華卡通台,http://litv.zapi.us.kg/?id=litv-longturn01
鏡電視新聞台,http://litv.zapi.us.kg/?id=4gtv-4gtv075
東森新聞台,http://litv.zapi.us.kg/?id=4gtv-4gtv152
華視新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv052
民視新聞台,http://litv.zapi.us.kg/?id=litv-ftv13
TVBS新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv072
東森財經新聞台,http://litv.zapi.us.kg/?id=4gtv-4gtv153
中視新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv074
中天新聞台,http://litv.zapi.us.kg/?id=4gtv-4gtv009
寰宇新聞台,http://litv.zapi.us.kg/?id=litv-longturn14
寰宇新聞台灣台,http://litv.zapi.us.kg/?id=litv-longturn15
TVBS,http://litv.zapi.us.kg/?id=4gtv-4gtv073
民視綜藝台,http://litv.zapi.us.kg/?id=4gtv-4gtv004
豬哥亮歌廳秀,http://litv.zapi.us.kg/?id=4gtv-4gtv006
靖天育樂台,http://litv.zapi.us.kg/?id=4gtv-4gtv062
KLT-靖天國際台,http://litv.zapi.us.kg/?id=4gtv-4gtv063
Nice TV 靖天歡樂台,http://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天資訊台,http://litv.zapi.us.kg/?id=4gtv-4gtv065
TVBS歡樂台,http://litv.zapi.us.kg/?id=4gtv-4gtv068
韓國娛樂台 KMTV,http://litv.zapi.us.kg/?id=4gtv-4gtv016
Mezzo Live HD,http://litv.zapi.us.kg/?id=4gtv-4gtv083
CLASSICA 古典樂,http://litv.zapi.us.kg/?id=4gtv-4gtv059
博斯高球台,http://litv.zapi.us.kg/?id=litv-longturn05
博斯高球台二台,http://litv.zapi.us.kg/?id=litv-longturn06
博斯運動一台,http://litv.zapi.us.kg/?id=litv-longturn07
博斯無限台,http://litv.zapi.us.kg/?id=litv-longturn10
博斯網球台,http://litv.zapi.us.kg/?id=litv-longturn09
博斯運動二台,http://litv.zapi.us.kg/?id=litv-longturn08
博斯魅力台,http://litv.zapi.us.kg/?id=litv-longturn04
TRACE Sport Stars,http://litv.zapi.us.kg/?id=4gtv-4gtv077
時尚運動X,http://litv.zapi.us.kg/?id=4gtv-4gtv014
GINX Esports TV,http://litv.zapi.us.kg/?id=4gtv-4gtv053
民視旅遊台,http://litv.zapi.us.kg/?id=litv-ftv07
亞洲旅遊台,http://litv.zapi.us.kg/?id=litv-longturn17
龍華偶像台,http://litv.zapi.us.kg/?id=litv-longturn12
公視戲劇,http://litv.zapi.us.kg/?id=4gtv-4gtv042
民視影劇台,http://litv.zapi.us.kg/?id=litv-ftv09
龍華戲劇台,http://litv.zapi.us.kg/?id=litv-longturn18
龍華日韓台,http://litv.zapi.us.kg/?id=litv-longturn11
八大精彩台,http://litv.zapi.us.kg/?id=4gtv-4gtv034
靖天戲劇台,http://litv.zapi.us.kg/?id=4gtv-4gtv058
靖洋戲劇台,http://litv.zapi.us.kg/?id=4gtv-4gtv045
視納華仁紀實頻道,http://litv.zapi.us.kg/?id=4gtv-4gtv013
采昌影劇台,http://litv.zapi.us.kg/?id=4gtv-4gtv049
靖天映畫,http://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv061
龍華電影台,http://litv.zapi.us.kg/?id=litv-longturn03
影迷數位電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv011
amc電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv017
好消息2台,http://litv.zapi.us.kg/?id=litv-ftv17
好消息,http://litv.zapi.us.kg/?id=litv-ftv16
半島國際新聞台,http://litv.zapi.us.kg/?id=litv-ftv10
VOA美國之音,http://litv.zapi.us.kg/?id=litv-ftv03
國會頻道1,http://litv.zapi.us.kg/?id=4gtv-4gtv084
國會頻道2,http://litv.zapi.us.kg/?id=4gtv-4gtv085
台視,http://litv.zapi.us.kg/?id=4gtv-4gtv066
台視新聞,http://litv.zapi.us.kg/?id=4gtv-4gtv051
台視財經台,http://litv.zapi.us.kg/?id=4gtv-4gtv056
第1商業台,http://litv.zapi.us.kg/?id=4gtv-4gtv104
CATCHPLAY電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv076
龍華經典台,http://litv.zapi.us.kg/?id=litv-longturn21
台灣戲劇台,http://litv.zapi.us.kg/?id=litv-longturn22
博斯無限二台,http://litv.zapi.us.kg/?id=litv-longturn13
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS 新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新闻,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
八大第1台,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合台,http://61.221.215.25:8800/hls/56/index.m3u8
纬来体育,http://61.221.215.25:8800/hls/48/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
电影频道,#genre#
粤语电影1,http://allinone.netsite.cc/douyu/6566671
粤语电影2,http://allinone.netsite.cc/douyu/1226741
粤语电影3,http://allinone.netsite.cc/douyu/5033502
